사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
202101,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,57,3,227,12,407,7,226,7,126,8,100,18,72,21,72,57,35,73,32,44,10,65,35,17,15,6,8,6,10,0,0,0,0,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,3,0,19,67,39,177,75,1090,106,1944,147,2037,287,1235,454,926,631,913,931,657,1198,426,1232,238,1781,199,2431,153,1309,114,871,83,808,77,845,36,481,19,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,6,1,7,0,10,4,23,1,37,6,57,3,95,9,93,4,165,0,319,5,345,2,210,1,127,0,111,0,74,1,61,1,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,23,0,29,0,20,1,22,1,37,6,60,3,72,5,96,6,140,7,206,8,342,4,742,10,1185,28,444,6,278,3,256,0,237,2,130,2,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,23,0,10,0,16,2,34,1,58,4,70,0,128,0,155,3,170,4,364,1,399,22,182,1,80,1,53,1,39,0,19,0,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,80,22,87,4,311,9,157,4,87,4,145,8,171,20,181,10,180,10,349,15,401,27,537,54,553,131,234,106,210,99,246,94,186,130,86,71,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,138,10,840,13,1401,8,889,6,402,17,334,7,337,12,193,7,171,8,79,15,79,4,56,0,39,0,26,0,26,0,4,0,4,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,1,0,4,36,4,204,11,489,17,584,7,452,8,192,4,188,2,136,8,91,124,65,194,36,100,25,92,31,136,20,75,25,52,14,72,11,27,0,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,87,0,400,2,716,2,415,9,203,4,185,4,196,4,173,8,88,6,62,4,51,6,36,2,19,0,22,0,11,1,12,0,2,20210203
202101,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동,0,0,0,0,0,0,0,0,0,0,0,0,58,6,199,2,242,30,187,6,139,6,134,14,126,11,131,10,146,18,212,18,349,19,318,35,348,61,157,33,73,14,121,13,115,15,35,14,20210203
