사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자,"?""사용년월"""
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소(00019),0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,1,71,3,154,2,64,4,57,8,48,14,82,3,30,13,23,25,13,22,7,14,9,6,10,4,5,0,2,4,2,0,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소(00018),0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,53,5,313,10,528,11,233,16,157,30,149,21,173,16,94,21,67,89,47,36,38,37,46,11,29,13,22,2,17,1,9,1,4,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관(00021),0,0,0,0,0,0,0,0,0,0,4,0,22,122,65,282,63,811,132,1957,356,1738,372,927,800,1008,738,1545,964,881,1902,852,1878,483,2345,278,2700,379,1441,173,1133,108,981,73,860,70,424,21,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관(00022),0,0,0,0,0,0,0,0,0,0,0,0,5,46,10,89,20,272,38,633,113,556,122,291,254,318,239,515,306,225,600,280,708,150,700,95,927,97,428,44,323,28,318,27,237,21,101,4,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,유회진학술정보관.제1공학관(00022),0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,1,7,3,22,6,87,4,71,1,190,2,105,3,152,4,284,3,530,4,678,1,512,9,285,0,195,1,205,0,148,0,92,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,유회진학술정보관.제1공학관(00023),0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,2,9,4,15,1,15,0,84,0,24,0,40,0,75,2,112,1,222,1,129,5,76,0,51,0,50,0,42,0,39,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소(00023),0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,1,17,5,43,7,98,3,100,5,163,8,119,9,145,7,301,4,492,10,1243,11,1241,13,471,5,330,7,321,7,267,1,171,1,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소(00024),0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,8,2,28,1,29,0,58,0,18,0,49,4,86,0,171,0,393,4,360,0,155,0,85,0,105,2,96,0,47,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구(00025),0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,8,2,8,4,13,0,32,7,41,0,108,3,72,0,95,0,135,5,155,7,54,1,54,1,9,0,21,1,22,0,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구(00024),0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,11,2,23,3,30,2,50,6,110,7,139,7,149,10,284,9,299,6,559,12,462,9,252,7,165,2,147,2,77,3,47,2,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리(00025),0,0,0,0,0,0,0,0,0,0,1,0,30,12,142,10,196,8,176,13,290,25,390,16,944,40,803,22,800,22,1466,63,2101,45,2963,66,2648,137,1065,87,1129,79,1094,95,851,95,390,40,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리(00027),0,0,0,0,0,0,0,0,0,0,0,0,8,1,25,1,34,1,47,4,67,1,64,1,156,8,158,4,134,4,311,9,474,8,502,7,494,18,236,24,212,11,159,13,139,12,46,5,30.0,서울마을버스,20221203,
