사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자
202302,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소(00018),0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,56,3,212,3,312,3,142,3,123,10,89,4,97,10,59,7,36,5,20,15,26,16,21,9,13,1,10,0,4,1,5,0,2,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소(00019),0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,88,1,88,1,62,0,39,6,39,1,27,3,15,3,13,1,9,11,14,11,6,1,4,0,4,1,1,0,3,0,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관(00022),0,0,0,0,0,0,0,0,0,0,3,0,5,34,14,94,19,205,33,445,59,497,120,274,197,237,217,246,259,138,343,99,336,97,688,44,660,29,361,38,185,20,178,31,184,11,81,5,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관(00021),0,0,0,0,0,0,0,0,0,0,0,0,17,95,15,292,49,557,79,1123,97,1429,193,685,382,657,453,732,632,478,861,277,984,212,2097,117,2290,99,951,88,680,52,621,70,596,30,249,21,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,유회진학술정보관.제1공학관(00022),0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,21,2,22,3,22,0,29,2,62,3,70,1,94,0,108,0,321,5,369,3,334,1,187,3,132,0,116,0,75,0,56,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,유회진학술정보관.제1공학관(00023),0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,0,7,3,6,0,15,0,45,0,30,0,24,0,61,0,183,1,170,1,91,4,63,1,34,0,26,0,30,0,14,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소(00023),0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,26,0,42,3,39,0,88,2,101,0,69,6,116,2,167,5,318,15,1249,10,1218,6,442,2,214,0,212,0,202,0,102,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소(00024),0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,0,8,1,13,1,50,1,30,1,31,0,41,0,74,2,126,6,488,1,467,4,137,0,79,0,63,0,65,0,34,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구(00025),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,5,0,15,8,62,1,44,2,40,1,94,4,143,1,263,3,148,0,68,0,41,0,26,2,21,0,14,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구(00024),0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,3,8,0,27,4,23,3,74,5,130,4,158,5,184,7,209,3,349,8,602,1,503,3,192,4,112,4,78,3,64,1,38,0,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리(00027),0,0,0,0,0,0,0,0,0,0,0,0,9,0,33,2,66,2,67,3,79,8,130,3,174,13,161,5,182,5,216,16,401,16,654,29,549,46,265,33,199,21,171,21,181,19,68,15,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리(00025),0,0,0,0,0,0,0,0,0,0,0,0,39,2,108,4,276,12,239,8,160,6,300,14,385,13,360,11,460,15,518,13,1058,21,1794,41,1871,117,686,85,697,81,596,97,546,88,252,47,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원(00015),0,0,0,0,0,0,0,0,0,0,0,0,1,144,2,130,7,1117,15,1347,10,797,10,477,23,393,9,351,26,256,16,194,12,149,7,88,8,71,4,38,1,45,0,29,0,21,0,10,30,서울마을버스,20230303
