사용일자,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,승차총승객수,하차총승객수,등록일자
20230901,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소(00019),8.0,69.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관(00022),689.0,528.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,유회진학술정보관.제1공학관(00023),195.0,1.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소(00024),265.0,4.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구(00025),70.0,2.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리(00027),372.0,36.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원(00016),19.0,206.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소(00017),4.0,127.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소(00018),5.0,252.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동(00031),170.0,42.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관(00030),496.0,85.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관(00028),641.0,28.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00008),33.0,85.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트(00033),135.0,54.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관(00034),308.0,14.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트(00036),36.0,64.0,20230904.0
20230901,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구(00038),12.0,755.0,20230904.0
